TN Title,studio,genres,TN Worlwide Gross,TN Domestic Gross,Computed Foreign Gross,TN Budget / Cost,Computed_Profit_Loss,year,release_date
People Like Us,BV,"Comedy,Drama",12617472,12431792,185680,16000000,-3382528,2012,29-Jun-12
People Like Us,BV,Drama,12617472,12431792,185680,16000000,-3382528,2012,29-Jun-12
Testament of Youth,SPC,"Biography,Drama,History",6646669,1822250,4824419,10000000,-3353331,2015,5-Jun-15
Stake Land,IFC,"Drama,Horror,Sci-Fi",679482,33245,646237,4000000,-3320518,2011,22-Apr-11
Blackthorn,Magn.,"Action,Adventure,Western",1217307,200558,1016749,4500000,-3282693,2011,7-Oct-11
Battle of the Year,SGem,"Drama,Music",16723377,8888355,7835022,20000000,-3276623,2013,20-Sep-13
Manglehorn,IFC,Drama,797439,132270,665169,4000000,-3202561,2015,19-Jun-15
Anna,VE,"Action,Thriller",1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,Biography,1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,"Biography,Documentary",1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,"Crime,Drama,Thriller",1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
Anna,VE,Drama,1200000,0,1200000,4357373,-3157373,2014,6-Jun-14
